#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
217Fr	87	217	0	0	0	100	0	-1574.87	9.4723	-7048.12	10.2112	-14360	13.7346	0	0	0.022	0.005	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.005	0	0	0	0	0	100	0	0
223Fr	87	223	0	0	0	100	0	1149.08	0.8476	-4009.19	4.7255	-10724.2	5.06916	0	0	1319.4	4.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4.2	0	0	99.994	0	0	0.006	0	0
222Fr	87	222	0	0	0	100	0	2057.9	8.6816	-4657.09	8.7732	-10036.6	12.2905	0	0	852	18	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	18	0	0	100	0	0	0	0	0
221Fr	87	221	0	0	0	100	0	313.374	6.3858	-5066.16	8.9809	-12259.2	10.3047	0	0	288.06	0.54	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.54	0	0	0.005	0.003	0.003	99.995	0.003	0.003
220Fr	87	220	0	0	0	100	0	1210.24	8.4809	-5982.84	7.7906	-11305.9	14.9388	0	0	27.4	0.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.3	0	0	0.35	0.05	0.05	99.65	0.05	0.05
216Fr	87	216	0	0	0	100	0	-320.444	8.8904	-7632.29	8.1377	-13264.4	13.0503	0	0	0.0007	2e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2e-05	0	0	0	0	0	100	0	0
215Fr	87	215	0	0	0	100	0	-2213.86	9.7691	-7845.92	8.7816	-16170.1	15.6066	0	0	8.9e-08	5e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	5e-09	0	0	0	0	0	100	0	0
214Fr	87	214	0	0	0	100	0	-1051.07	9.9879	-9375.2	12.9941	-16902.2	15.2363	0	0	0.0055	0.0002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0002	0	0	0	0	0	100	0	0
213Fr	87	213	0	0	0	100	0	-3899.76	10.8862	-11426.8	11.2447	-20528.7	15.4783	0	0	34.17	0.06	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.06	0	0	0	0	0	99.45	0.05	0.05
212Fr	87	212	0	0	0	100	0	-3317.24	13.4939	-12419.2	10.0827	-20101.5	19.2462	0	0	1218	36	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	36	0	0	0	0	0	43	2	2
